,id,channel_name,title,keyword,published_at,VideoViews
157,LnBq47OXQYM,Ben Shapiro,The Consequences Of Covid Authoritarianism | Ep. 1357,Covid,2021-10-19T17:00:11Z,252363
158,jVGM4dRvkEg,Ben Shapiro,LOL: Shapiro DISMANTLES Biden's Claim That He's DEFEATING COVID,Covid,2021-10-16T00:30:05Z,193959
159,k-vBYa7hMPk,Ben Shapiro,Shapiro Reacts to Joe Rogan Confronting CNN's Medical Expert on COVID,Covid,2021-10-14T22:10:56Z,1250515
160,U7_KnSfx9zw,Ben Shapiro,Unemployment Is SKYROCKETING Because of COVID Panic,Unemployed,2021-10-11T21:44:01Z,192067
161,U7_KnSfx9zw,Ben Shapiro,Unemployment Is SKYROCKETING Because of COVID Panic,Covid,2021-10-11T21:44:01Z,192067
162,4ouL2z9RcwA,Ben Shapiro,WOW: New Yorkers Think The Rich Should Be Taxed at 95%,Rich,2021-10-09T22:00:03Z,3595076
163,EqM_Sa4E_vM,Ben Shapiro,Authoritarian Biden Is Murdering The Economy | Ep. 1350,Economy,2021-10-08T17:00:11Z,255760
164,rofPmYg-J8o,Ben Shapiro,Climate Change PANIC! Shapiro and Lomborg Discuss the FALSE Media Narrative Around Global Warming,Climate,2021-09-29T17:00:34Z,147022
165,uK5rRaV_T4E,Ben Shapiro,Much Needed GOOD News About COVID,Covid,2021-09-25T00:30:08Z,424871
166,ntszS8DMTmM,Ben Shapiro,Biden Shoots The Horses | Ep. 1342,Shooting,2021-09-24T17:00:10Z,250466
167,hfFxQ3LY9-A,Ben Shapiro,The Economy Might Be in Jeopardy. Here’s Why.,Economy,2021-09-23T22:24:21Z,220528
168,2WjtBD5G-oU,Ben Shapiro,Shapiro EXPOSES AOC and The Left’s INSANE COVID Hypocrisy,Covid,2021-09-21T00:00:00Z,232648
169,H5sYQUQMSBk,Ben Shapiro,OUTRAGEOUS: Biden Cuts LIFE-SAVING COVID Treatment From Florida,Covid,2021-09-17T23:30:01Z,232734
170,8ke755mBOis,Ben Shapiro,"Mike Pence on Covid, Afghanistan, and American Freedom",Covid,2021-09-16T17:00:04Z,175922
171,FLGgOvpRlf0,Ben Shapiro,"Shapiro Reacts to AOC's Hypocritical ""Tax the Rich"" Designer Dress",Rich,2021-09-14T22:36:25Z,386676
172,Uhe4XCpEMBo,Ben Shapiro,WATCH: Biden BLAMES Republican Governors for COVID Deaths,Covid,2021-09-10T23:00:08Z,190006
173,UbBwTODoH8k,Ben Shapiro,The Covid Tyrant | Ep. 1335,Covid,2021-09-10T17:00:11Z,372896
174,vsfAdsUBU5Q,Ben Shapiro,We Are NOT Complying With Biden's New COVID Mandate,Covid,2021-09-10T14:48:32Z,984575
175,lAE0GBPQY_M,Ben Shapiro,Ben Shapiro on Abortion: Evil Is Still Evil Regardless of Politics,Abortion,2021-09-08T20:26:57Z,16617230
176,I7MNCav8UGo,Ben Shapiro,Shapiro ENDS Leftist’s Arguments Against Texas Abortion Law,Abortion,2021-09-04T01:00:02Z,528872
177,SYrYJlmp_Yk,Ben Shapiro,Biden’s Economy Just Got A LOT Worse...,Economy,2021-09-03T23:30:04Z,228454
178,OPOtk40XPoc,Ben Shapiro,Shapiro Breaks Down MAJOR WIN Against Abortion,Abortion,2021-09-02T23:30:06Z,362055
179,Az6HekxE4N0,Ben Shapiro,The Holy Sacrament Of Abortion | Ep. 1332,Abortion,2021-09-02T17:00:09Z,266920
180,EO_f4iB8jto,Ben Shapiro,Australia's COVID Lockdown Rules Are Completely INSANE,Covid,2021-08-24T22:20:26Z,769637
181,ocNNzwbd6Yk,Ben Shapiro,The U.S. is About to Make the Taliban Very Rich. Here's How.,Rich,2021-08-19T23:30:02Z,180388
182,jNHSJYZnedY,Ben Shapiro,Barack’s Very Covid Birthday Party | Ep. 1314,Covid,2021-08-09T17:00:11Z,244380
183,Px8ZyXnZbXc,Ben Shapiro,Biden Blames Florida For COVID Surge — Ron DeSantis Hits Back,Covid,2021-08-06T15:44:33Z,455629
184,OBIZfww5Z8w,Ben Shapiro,BUSTED: DC Mayor CAUGHT Breaking Her Own COVID Rules,Covid,2021-08-03T00:30:03Z,116058
185,NgM_THfc5S8,Ben Shapiro,The Covid Misinformation Is Coming From Inside The White House | Ep. 1307,Covid,2021-07-29T17:00:10Z,275606
186,8tVh_x_kBc4,Ben Shapiro,WATCH: Joe Biden FRUSTRATED By Tough COVID Question,Covid,2021-07-27T22:33:14Z,229177
187,1KuSQkqn-aM,Ben Shapiro,EXPLOSIVE: Rand Paul & Fauci CLASH in Tense COVID Debate,Covid,2021-07-21T22:41:06Z,447911
188,eYHp3v-5hXU,Ben Shapiro,Inflation under the Biden admin is even worse than you thought...,Inflation,2021-07-20T22:31:20Z,167458
189,Ss346PZFtNw,Ben Shapiro,The Endless Covid Power Grab | Ep. 1300,Covid,2021-07-20T17:00:10Z,247540
190,6bjnClayvJw,Ben Shapiro,The PURE HYPOCRISY Of Biden Admin TURNING AWAY Cuban Refugees,Refugee,2021-07-16T00:30:01Z,102255
191,pS9F3aRotf0,Ben Shapiro,Shapiro RIPS Dems for Claiming Cuba Revolt Is About COVID,Covid,2021-07-13T22:43:31Z,144342
192,wXET3CcHZnw,Ben Shapiro,OOPS: Biden's POOR Mental Performance GETS NOTICED,Poor,2021-07-12T23:15:30Z,466843
193,XsmEfOaU5Xc,Ben Shapiro,Poll Reveals Democrat Policies Are EXTREMELY UNPOPULAR,Extremism,2021-06-29T01:00:04Z,181570
